Symbol,SecType,Exchange,Currency,PrimaryExchange,Reason,LatestPrice,CurrentDollarVolume,Avg20DDollarVolume,RelativeVolume,VolumeActivity,ATRPercent,RealizedVol20D,RankScore,ConId,ContractValidated,ValidationWarning
NVDA,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,208.88,28151067577.92,20852950458.2,1.35,normal_activity,2.4809,31.3768,0.734943,,false,
AMD,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_relative_volume|high_volatility_proxy|static_core,345.02,16100190275.26,8528914031.64,1.8877,elevated_activity,3.7472,53.9877,0.534716,,false,
SPY,STK,SMART,USD,ARCA,high_avg_dollar_volume|high_current_dollar_volume|static_core,714.22,15839911165.52,34075399274.83,0.4648,normal_activity,1.2661,16.4429,0.509169,,false,
QQQ,STK,SMART,USD,ARCA,high_avg_dollar_volume|high_current_dollar_volume|static_core,663.98,15082541412.9,24414108099.55,0.6178,normal_activity,1.693,20.2657,0.458779,,false,
TSLA,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_volatility_proxy|static_core,376.06,15349831306.36,19684342959.4,0.7798,normal_activity,4.168,48.1364,0.454798,,false,
MU,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_volatility_proxy|static_core,497.31,9458232465.66,14309555047.01,0.661,normal_activity,5.2463,71.9419,0.314768,,false,
ARM,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_relative_volume|high_volatility_proxy|static_core,233.5,2722531077.0,1278314359.95,2.1298,strong_activity,4.8236,83.775,0.307467,,false,
TSM,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,405.84,5293648308.72,3773146610.15,1.403,normal_activity,3.2206,45.3728,0.275697,,false,
AMZN,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,264.16,6747076188.32,6822686414.54,0.9889,normal_activity,2.6469,33.1188,0.266969,,false,
MSFT,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,423.85,5493158729.8,8702532132.05,0.6312,normal_activity,2.4502,32.2564,0.214888,,false,
GOOGL,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,344.39,4152121504.28,4084153933.68,1.0166,normal_activity,2.3887,30.7634,0.21275,,false,
AVGO,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,422.65,4651558682.35,5715567229.92,0.8138,normal_activity,3.0136,42.0129,0.20589,,false,
META,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,677.64,4747871784.84,6945361775.02,0.6836,normal_activity,2.9948,42.0685,0.198971,,false,
ORCL,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_volatility_proxy|static_core,174.09,3588270832.65,3794369611.96,0.9457,normal_activity,4.89,63.9126,0.193499,,false,
AAPL,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|static_core,270.23,3836799042.56,5589783146.84,0.6864,normal_activity,2.2768,26.432,0.176788,,false,
CRWV,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_volatility_proxy|static_core,110.98,2449694944.98,2422832319.22,1.0111,normal_activity,7.4013,87.6465,0.175123,,false,
PLTR,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_volatility_proxy|static_core,143.15,3208039312.1,4891482016.59,0.6558,normal_activity,5.2312,62.1504,0.158954,,false,
SMCI,STK,SMART,USD,NASDAQ,high_volatility_proxy|static_core,28.98,714840647.22,653490046.63,1.0939,normal_activity,5.3071,69.5794,0.146976,,false,
INTC,STK,SMART,USD,NASDAQ,high_avg_dollar_volume|high_current_dollar_volume|high_relative_volume|high_volatility_proxy,80.61,14556309874.14,7157012927.22,2.0339,strong_activity,5.1408,87.5658,0.519589,,false,
QCOM,STK,SMART,USD,NASDAQ,high_current_dollar_volume|high_relative_volume,148.09,1955795012.0,672827130.18,2.9068,strong_activity,2.6538,41.3753,0.385213,,false,
